	Domain	"Phylum	"	"Class	"	"Order	"	Family 	"Genus	"	Species
OTU46	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Naganishia	UNKNOWN
OTU47	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Holtermanniales	f:Holtermanniales_fam_Incertae_sedis	g:Holtermanniella	s:Holtermanniella_takashimae_SH526070.07FU
OTU48	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Magnaporthales	f:Magnaporthaceae	g:Mycoleptodiscus	s:Mycoleptodiscus_terrestris_SH216144.07FU
OTU49	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Teratosphaeriaceae	g:Phaeothecoidea	s:Phaeothecoidea_proteae_SH027337.07FU
OTU50	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Trichoderma	UNKNOWN
OTU51	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU52	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU53	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Entoloma	UNKNOWN
OTU54	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU55	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	f:Coniochaetaceae	g:Coniochaeta	UNKNOWN
OTU56	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU57	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU58	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU59	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Debaryomycetaceae	g:Debaryomyces	s:Debaryomyces_prosopidis_SH190089.07FU
OTU60	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Humicola	s:Humicola_grisea_SH374010.07FU
OTU61	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Russulaceae	g:Russula	UNKNOWN
OTU62	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	UNKNOWN	UNKNOWN	UNKNOWN
OTU63	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Chaetosphaeriales	f:Chaetosphaeriaceae	g:Chaetosphaeria	s:Chaetosphaeria_vermicularioides_SH181577.07FU
OTU64	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU65	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Cladosporium	s:Cladosporium_grevilleae_SH176536.07FU
OTU66	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU67	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
