"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU5804" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2506" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU22999" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1894" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU22522" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU30038" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU24433" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU12771" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1990" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU22757" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9806" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9882" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5325" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU19377" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1444" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4700" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5135" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU24564" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU29597" "k:Bacteria" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4903" "k:Bacteria" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2391" "k:Bacteria" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU517" "k:Bacteria" "p:Planctomycetes" "c:Pla4_lineage" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2378" "k:Bacteria" "p:Planctomycetes" "c:Pla4_lineage" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU13999" "k:Bacteria" "p:Planctomycetes" "c:Pla4_lineage" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU12420" "k:Bacteria" "p:Planctomycetes" "c:Pla4_lineage" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7376" "k:Bacteria" "p:Planctomycetes" "c:Pla4_lineage" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU21551" "k:Bacteria" "p:Planctomycetes" "c:Pla4_lineage" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1098" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1764" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1773" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2028" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU11589" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU411" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9067" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU22038" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU13503" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU711" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU21868" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1660" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2570" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4018" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1224" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1314" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU23635" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7894" "k:Bacteria" "p:Planctomycetes" "c:OM190" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU23839" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU23131" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU19415" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU3330" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5459" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU17723" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4482" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU24798" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5029" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU13365" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU22684" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2763" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU26709" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "f:Phycisphaerae_bacterium_2842" "UNKNOWN" "UNKNOWN"
"OTU2816" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU15635" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU8494" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9706" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU3674" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU445" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU18484" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5402" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9342" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2245" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU21917" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU20565" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU516" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU8321" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU11270" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2175" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU8656" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU11794" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5041" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU12259" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4655" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7591" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU24447" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5795" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5136" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU23559" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU6628" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2903" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU12905" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5078" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU12739" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5052" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1176" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU19385" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU15310" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2110" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU20362" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU21312" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU22472" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU16907" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU11657" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU24242" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU23641" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7197" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9779" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU17503" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU16461" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU3461" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7730" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2213" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU26014" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU87" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU22138" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU24972" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU16760" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU18630" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU424" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU12540" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU23234" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU18060" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1884" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU16967" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5192" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1027" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU12790" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU715" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU11116" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU17552" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5870" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU16968" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU20772" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU3001" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7297" "k:Bacteria" "p:Planctomycetes" "c:Phycisphaerae" "o:WD2101_soil_group" "UNKNOWN" "UNKNOWN" "UNKNOWN"
