	Domain	"Phylum	"	"Class	"	"Order	"	Family 	"Genus	"	Species
OTU11808	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	UNKNOWN	UNKNOWN
OTU11809	k:Bacteria	p:Armatimonadetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11810	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:Sphaerobacterales	f:Sphaerobacteraceae	g:Nitrolancea	UNKNOWN
OTU11811	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	g:Gemmatimonas	UNKNOWN
OTU11812	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	g:Aquicella	UNKNOWN
OTU11813	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Legionellales	f:Coxiellaceae	g:Aquicella	UNKNOWN
OTU11814	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:SM2D12	UNKNOWN	UNKNOWN
OTU11815	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:Bdellovibrio	UNKNOWN
OTU11816	k:Bacteria	p:Latescibacteria	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11817	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Hamadaea	s:Hamadaea_tsunoensis
OTU11818	k:Bacteria	p:Proteobacteria	c:TA18	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11819	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:0319-6M6	UNKNOWN	UNKNOWN
OTU11820	k:Bacteria	p:Cyanobacteria	c:Chloroplast	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU11821	k:Bacteria	p:Elusimicrobia	c:Elusimicrobia	o:MVP-88	UNKNOWN	UNKNOWN	UNKNOWN
